question_id,books,categories,coefficient,collection,count_qrp,is_free,knowledge,lessons,similar,sources,specialty,type
QI_Q28,,IMG,1,ECNi_2018,,0,N307N04 ,radiologie_malignite_tumeur_osseuse ,group_350,,rhumato ,QRM
DP6_Q3,,IMG,1,ECNi_2018,,0,N154N06 ,,,,pedia ,QRM
QI_Q35,,,1,ECNi_2017,,0,N242N06 ,,group_283,,endoc ,QRM
DP7_Q7,,,1,ECNi_2018,,0,N042N03 ,sopk_rotterdam ,,,endoc ,QRM
QI_Q87,,,1,ECNi_2018,,0,N020N18 ,association_epidemio ,group_60,,sante_pub ,QRM
DP5_Q13,,SEM,1,ECNi_2017,,0,N362N02 ,,,,cmf ,QRM
DP7_Q9,,,1,ECNi_2020,,0,N185N04 ,epp_inflammation ,group_474,,med_interne ,QRM
DP16_Q9,,IMG,1,ECNi_2017,,0,N319N05 ,,group_276,,hemato ,QRM
DP16_Q9,,TTT,1,CCB_2017,,0,N196N08 ,,,,rhumato ,QRM
DP5_Q12,,,1,ECNi_2022,,0,N219N14 ,physiologie_fer ; etiologie_hyperferritinemie ; diag_sd_metabolique ,group_524,,hge ,QRU
DP9_Q10,,,1,ECNi_2019,,0,N048N03 ,alimentation_lactee_exclusive ,group_409,,pedia ,QRM
DP1_Q16,,,1,ECNi_2021,,0,N031N16 ,contraception_postpartum ,,,gyneco ,QRM
DP10_Global,NEU ; DVE ; SPU_SPU ,,,ECNi_2021,,0,,,,pec_epilepsie ,dermato ; neuro ,
QI_Q48,,,1,ECNi_2021,,0,N368N00 ,,,,ortho ,QRM
QI_Q85,,,1,CCB_2016,,0,N066N73 ,troubles_personnalité ,,,psy ,QRM
DP12_Q7,,,1,ECNi_2019,,0,N260N05 ,bilan_hematurie ,group_425,,gyneco ,QRM
DP10_Q8,,,1,CCB_2016,,0,N034N01 ,,,,gyneco ,QRM
DP14_Q14,,,1,ECNi_2017,,0,N228N10 ,,,,dermato ,QRU
DP1_Q2,,SEM,1,ECNi_2022,,0,N286N04 ,mici_extradigestive ,,,hge ,QRM
DP11_Q5,,,1,ECNi_2021,,0,N213N07 ,bilan_carence_fer ,,,pedia ,QRM
QI_Q10,,,1,ECNi_2016,,0,N253N04 ,bilan_obesite ; conseil_hygienodietetique_obesite ,,,pedia ,QRM
QI_Q115,,SEM,1,ECNi_2020,,0,N064N08 ,litigieux ; formulations_recurrentes ,,,psy ,QRM
DP15_Global,NEU ; MPR ,,,ECNi_2022,,0,,,,,neuro ,
DP8_Q11,,,1,CCB_2016,,0,N320N07 ,myelome_crab ,group_24,,rhumato ,QRM
DP8_Q11,,,1,CCB_2017,,0,N348N04 ,ira_fonctionnelle_organique ,,,pedia ,QRM
DP5_Q2,,SEM,1,CCB_2016,,0,N131N06 ,etat_lacunaire ; hydrocephalie_chronique ; semiologie_syndrome_parkinsonien ; syndrome_cerebelleux ,group_236,,neuro ,QRM
QI_Q57,,,1,ECNi_2016,,0,N301N06 ,,,,hge ,QRM
DP10_Q3,,,1,ECNi_2016,,0,N071N11 ,critere_hospit_anorexie ,group_193,,psy ,QRM
DP14_Q4,,,1,ECNi_2016,,0,N349N10 ,,,,ortho ,QRM
DP15_Q1,,SEM,1,ECNi_2020,,0,N342N06 ,syncope_epilepsie ,group_3,,neuro ,QRM
DP3_Q10,,,1,ECNi_2016,3,0,N357N10 ,,group_178,,chir_dig ,QRP
DP1_Q10,,,1,CCB_2017,,0,N209N11 ,ttt_fond_bpco ,,,pneumo ,QRM
DP6_Q10,,SEM,1,ECNi_2019,,0,N105N04 ,epilepsie_myoclonale_juvenile ; epilepsie_paroxysmes_rolandiques ; epilepsie_temporale ,,,neuro ,QRU
DP8_Q3,,EFR; IMG,1,ECNi_2022,,0,N208N05 ,interpretation_efr ; radio_distension_thoracique ,,,pneumo ,QRM
QI_Q103,,ICO,1,ECNi_2019,,0,N223N06 ,depots_lipidiques_extravasculaires ,group_354,,endoc ,QRM
DP1_Q11,,TTT,1,ECNi_2022,,0,N277N24 ,,,,hge ,QRM
DP6_Q6,,,1,ECNi_2020,,0,N328N07 ,entente_prealable ; petit_grand_appareillage ,group_352,,mpr ,QRM
DP5_Q8,,,1,ECNi_2018,,0,N136N05 ,consultation_visite_preanesthesique ; anesthesie_locoregionale ,,,ortho ,QRM
DP16_Q4,,SEM,1,ECNi_2022,,0,N071N05 ,clinique_anorexie_mentale ,group_194,,pedia ,QRM
DP13_Q10,,,1,CCB_2017,,0,N158N05 ,,,,anesth_rea ,QRM
DP1_Q6,,,1,ECNi_2018,,0,N264N15 ,regime_insuffisance_renale_chronique ; classification_maladie_renale_chronique ,,,nephro ,QRM
DP18_Global,SPU_SPU ; MIT ; PNE ; PED ,,,CCB_2016,,0,,,,hcsp_enquete_tuberculose ; precautions_contact ; precautions_air_gouttelettes ,sante_pub ,
DP1_Q6,,,1,ECNi_2019,,0,N161N08 ,,,,infectio ,QRU
QI_Q49,,,1,ECNi_2019,,0,N007N06 ,,,,med_legale ,QRM
DP2_Q12,,ECG,1,ECNi_2021,,0,N231N07 ,lecture_ecg ,group_518,,geria ,QRM
QI_Q27,,,1,ECNi_2016,,0,N264N18 ,consequences_irc ,group_218,,nephro ,QRM
DP18_Q14,,,1,ECNi_2020,,0,N197N03 ,prevalence_hlab27 ,,,rhumato ,QRM
QI_Q66,,TTT,1,ECNi_2018,,0,N135N04 ,ttt_douleur_neuropathique ,group_361,,soins_pall ,QRM
DP13_Q9,,,1,ECNi_2016,,0,N282N05 ,,,,hge ,QRM
DP3_Q8,,PHY,1,ECNi_2018,,0,N131N15 ,,,,geria ,QRM
QI_Q104,,,1,ECNi_2019,,0,N026N04 ,,,,gyneco ,QRM
DP16_Q8,,,1,ECNi_2018,,0,N162N27 ,,group_335,,dermato ,QRM
QI_Q1,,,1,ECNi_2017,,0,N118N17 ,,,,pedia ,QRM
QI_Q92,,,1,ECNi_2016,,0,N335N02 ,litigieux ,group_230,,ophtalmo ,QRM
DP18_Q2,,EPI,1,ECNi_2019,,0,N298N03 ,,,,orl ,QRM
DP15_Global,NEU ,,,ECNi_2020,,0,,,,,neuro ,
DP10_Q15,,,1,CCB_2016,,0,N023N07 ,suivi_grossesse ; prevention_alloimmunisation ,,,gyneco ,QRM
DP5_Q7,,,1,ECNi_2018,,0,N363N08 ,,,,ortho ,QRM
QI_Q18,,,1,ECNi_2022,,1,N304N05 ,,group_292,,hge ,QRM
QI_Q47,,,1,CCB_2016,,0,N009N22 ,investigateur_promoteur ,group_58,,sante_pub ,QRM
QI_Q119,,,1,CCB_2017,,0,N083N01 ,,,,ophtalmo ,QRM
DP18_Q13,,TTT,1,ECNi_2019,,0,N294N13 ,ei_platines ,group_20,,orl ,QRM
DP11_Q9,,PHY,1,ECNi_2020,,0,N164N07 ,,,,dermato ,QRU
DP17_Q3,,,1,ECNi_2017,,0,N211N05 ,,,,med_interne ,QRM
QI_Q3,,,1,ECNi_2020,,0,N291N01 ,,group_498,,anapath ,QRM
QI_Q115,,,1,ECNi_2017,,0,N139N03 ,phases_soins_maladie_chronique ,,,soins_pall ,QRM
DP7_Q14,,,1,ECNi_2017,,0,N219N10 ,bilan_carence_fer ; marche_sideropenique ,,,hge ,QRM
QI_Q84,,SEM,1,ECNi_2016,,0,N227N10 ,insuffisance_veineuse_compression ; classification_ceap ,,,cardiovasc ,QRM
DP11_Q5,,SEM,1,ECNi_2018,,0,N368N00 ,,,,ophtalmo ,QRM
QI_Q78,,,1,ECNi_2019,,0,N242N10 ,,,,ophtalmo ,QRM
DP16_Q10,,,1,ECNi_2017,,0,N319N05 ,ann_arbor ,,,hemato ,QRU
QI_Q27,,PHY,1,ECNi_2018,,0,N085N02 ,,group_124,,ophtalmo ,QRM
QI_Q63,,SEM,1,ECNi_2022,,0,N104N03 ,semiologie_sep ,,,ophtalmo ,QRM
DP16_Global,PNE ; SPU_SPU ; MLT_T ,,,CCB_2016,,0,,,,annonce_cancer ; tableaux_mp ,med_travail ,
DP4_Q8,,,1,CCB_2016,,0,N368N00 ,,,,endoc ,QRM
DP10_Q2,,EPI,1,ECNi_2016,,0,N071N03 ,,,,psy ,QRM
DP16_Q12,,,1,ECNi_2018,,0,N162N29 ,,,,dermato ,QRM
DP5_Q6,,,1,CCB_2016,,0,N106N02 ,semiologie_syndrome_parkinsonien ,,,neuro ,QRM
DP2_Global,GYO ,,,ECNi_2018,,0,,,,diag_toxo ,gyneco ,
QI_Q17,,,1,ECNi_2022,,0,N253N12 ,,group_362,,endoc ,QRM
DP15_Q6,,SEM,1,ECNi_2020,,0,N076N07 ,diag_ttt_sevrage_alcoolique ; coma_ethylique ,,,neuro ,QRM
DP3_Q6,,,1,CCB_2016,,0,N342N13 ,,,,cardiovasc ,QRM
DP8_Q17,,,1,ECNi_2022,,0,N208N13 ,oxygenotherapie_longue_duree ,,,pneumo ,QRM
QI_Q15,,,1,ECNi_2020,,0,N182N01 ,litigieux ; visite_vip ; examen_aptitude ,,,med_travail ,QRM
QI_Q13,,,1,ECNi_2022,,0,N368N00 ,myelome_crab ; hypercalcemie_myelome ; diag_myelome ,group_24,,hemato ,QRM
DP11_Q13,,TTT,1,CCB_2016,,0,N128N08 ,utilisation_bisphosphonates ; litigieux ,,,geria ,QRM
DP13_Q1,,,1,ECNi_2018,,0,N012N01 ,definition_agression_sexuelle ; desaccord ,,,med_legale ,QRM
DP2_Q4,,,1,ECNi_2022,,0,N316N04 ,,group_569,,hemato ,QRM
DP16_Q11,,SEM,1,ECNi_2022,,0,N282N04 ,differences_crohn_rch ; mici_extradigestive ; semiologie_erytheme_noueux ,group_198,,pedia ,QRM
DP5_Q8,,TTT,1,CCB_2016,,0,N106N10 ,,group_13,,neuro ,QRM
QI_Q110,,,1,ECNi_2017,,0,N081N06 ,,,,geria ,QRM
DP14_Q12,,,1,ECNi_2018,,0,N169N14 ,,,,infectio ,QRM
DP8_Q3,,,1,ECNi_2019,,0,N354N10 ,,group_200,,chir_dig ,QRM
DP11_Q7,,,1,CCB_2017,,0,N353N05 ,evaluation_risque_suicidaire ,group_35,,psy ,QRM
DP8_Q5,,,1,ECNi_2018,,0,N301N13 ,bilan_extension_ccr ,,,chir_dig ,QRM
DP12_Q3,,,1,CCB_2017,,0,N234N10 ,,,,cardiovasc ,QRM
QI_Q73,,,1,ECNi_2018,,0,N004N44 ,precautions_air ; prevention_tuberculose ,,,infectio ,QRM
DP15_Q10,,TTT,1,ECNi_2016,,0,N330N01 ,ei_dermocorticoides ,,,med_interne ,QRM
DP4_Global,PED ,,,ECNi_2017,,0,,,,,pedia ,
DP10_Q8,,,1,ECNi_2020,,0,N244N06 ,bilan_etiologique_cushing ,,,endoc ,QRM
DP5_Q10,,,1,ECNi_2018,,0,N322N11 ,aag_chirurgie ; gestion_ttt_perioperatoire ,,,ortho ,QRM
DP3_Q8,,,1,CCB_2016,,0,N342N07 ,,,,cardiovasc ,QRM
DP5_Q13,,SEM,1,ECNi_2019,,0,N066N22 ,diag_tag ; phobie_sociale ; korsakoff ,,,psy ,QRM
DP12_Q3,,SEM,1,ECNi_2016,,0,N268N04 ,symptomes_hypercalcemie ,,,onco ,QRM
DP11_Global,DVE ,,,ECNi_2020,,0,,,,,dermato ,
DP17_Q8,,,1,ECNi_2021,,0,N242N13 ,surveillance_antithyroidien_synthese ,,,endoc ,QRM
DP18_Q13,,,1,ECNi_2017,,0,N082N17 ,,,,ophtalmo ,QRM
QI_Q36,,,1,CCB_2016,,0,N055N05 ,,,,pedia ,QRM
DP8_Q9,,,1,CCB_2016,,0,N185N06 ,,,,rhumato ,QRM
DP12_Q12,,TTT,1,ECNi_2021,,0,N074N10 ,,,,psy ,QRM
DP13_Q4,,ICO,1,ECNi_2021,,0,N175N18 ,,group_289,,infectio ,QRU
DP9_Q8,,SEM,1,CCB_2017,,0,N024N18 ,,group_98,,gyneco ,QRM
DP17_Q8,,SEM,1,CCB_2017,,0,N083N08 ,,,,ophtalmo ,QRM
DP4_Q13,,TTT,1,ECNi_2021,,0,N225N14 ,,,,cardiovasc ,QRM
DP7_Q15,,,1,ECNi_2021,,0,N368N00 ,,,,nephro ,QRM
DP9_Q9,,,1,ECNi_2016,,0,N150N07 ,,group_192,,orl ,QRM
QI_Q52,,TTT,1,ECNi_2019,,0,N322N14 ,interactions_cytochrome ,group_374,,therapeutique ,QRM
DP16_Q1,,SEM,1,ECNi_2021,,0,N286N04 ,,,,sante_pub ,QRM
DP8_Global,DVE ; IMM ; MIT ,,,ECNi_2016,,0,,,,,dermato ,
DP12_Q4,,TTT,1,CCB_2016,,0,N064N11 ,,,,psy ,QRM
DP5_Q5,,SEM,1,CCB_2016,,0,N106N01 ,hypertonie_spastique_plastique ,,,neuro ,QRM
DP8_Q5,,,1,ECNi_2017,,0,N250N10 ,,,,chir_dig ,QRM
QI_Q40,,ICO,1,ECNi_2022,,0,N335N02 ,,group_587,,cmf ,QRM
DP15_Q5,,,1,ECNi_2021,,0,N097N06 ,,,,neuro ,QRM
DP1_Q13,,,1,CCB_2016,,0,N159N15 ,investigation_tuberculose ,,,pedia ,QRM
QI_Q33,,,1,ECNi_2021,,0,N277N01 ,complications_lithiase_biliaire ; semio_colique_hepatique ,group_128,,hge ,QRM
QI_Q30,,SEM,1,ECNi_2022,,0,N225N03 ,clinique_aomi ; claudication_mi ; classification_aomi ; seuils_ips ,,,cardiovasc ,QRM
DP8_Q15,,,1,ECNi_2016,,0,N146N03 ,,,,dermato ,QRM
DP6_Q11,,TTT,1,ECNi_2019,,0,N368N00 ,education_therapeutique_epilepsie ,,,neuro ,QRM
DP2_Q7,,,1,CCB_2016,,0,N271N07 ,,,,pneumo ,QRM
DP13_Q7,,EPI,1,ECNi_2017,,0,N310N07 ,,,,onco ,QRM
DP18_Q14,,,1,ECNi_2021,,0,N038N06 ,spermogramme ; klinefelter ,,,uro ,QRU
DP7_Q2,,SEM,1,ECNi_2021,,0,N264N06 ,consequences_irc ,,,nephro ,QRM
DP9_Q3,,SEM,1,ECNi_2018,,0,N101N02 ,,,,orl ,QRM
QI_Q71,,,1,ECNi_2022,,0,N136N07 ,anesthesie_locoregionale ,group_685,,anesth_rea ,QRM
QI_Q7,,,1,ECNi_2016,,0,N255N02 ,,group_212,,gyneco ,QRM
DP9_Q16,,IMG,1,ECNi_2020,,0,N263N08 ,,group_301,,nephro ,QRM
QI_Q101,,,1,ECNi_2022,,0,N219N16 ,etiologie_hyperferritinemie ; diag_sd_metabolique ; hémochromatose ,,,hge ,QRM
DP6_Q4,,,1,ECNi_2021,,0,N200N06 ,ponction_liquide_articulaire ,,,rhumato ,QRM
DP11_Q11,,,1,ECNi_2016,,0,N320N09 ,hypercalcemie_myelome ,,,rhumato ,QRM
QI_Q77,,SEM,1,ECNi_2018,,0,N354N07 ,defense_contracture ,group_367,,chir_dig ,QRM
QI_Q17,,,1,ECNi_2016,,0,N335N02 ,anatomie_orbite ,,,cmf ,QRM
DP3_Q15,,,1,ECNi_2020,,0,N067N06 ,aides_enfant_handicape ,group_248,,psy ,QRM
DP8_Q1,,ECG,1,CCB_2016,,0,N339N06 ,concordance_electroanatomique ,,,rhumato ,QRM
DP13_Global,HGE ; EDN ; RHU ,,,ECNi_2020,,0,,,,ttt_osteoporose_meno ; nutri_pcc ,hge ,
QI_Q15,,,1,ECNi_2018,,0,N152N04 ,,,,infectio ,QRM
DP1_Q3,,IMG,1,ECNi_2018,,0,N311N05 ,,group_301,,nephro ,QRM
DP1_Q5,,,1,ECNi_2022,,0,N282N06 ,differences_crohn_rch ,group_255,,hge ,QRM
QI_Q49,,SEM,1,ECNi_2022,,0,N072N06 ,diag_trouble_symptomatologie_somatique_tss ,,,psy ,QRU
DP17_Q2,,TTT,1,ECNi_2022,,0,N124N09 ,,,,gyneco ,QRM
QI_Q46,,ICO,1,ECNi_2018,,0,N223N06 ,depots_lipidiques_extravasculaires ,group_354,,endoc ,QRM
DP7_Q13,,,1,ECNi_2019,,0,N004N21 ,,,,sante_pub ,QRM
QI_Q17,,,1,CCB_2016,,0,N095N02 ,,group_55,,rhumato ,QRM
DP15_Q10,,SEM,1,ECNi_2022,,0,N104N12 ,troubles_urinaires_centraux ,,,uro ,QRM
DP3_Q15,,,1,ECNi_2019,,0,N183N04 ,,,,ortho ,QRM
DP14_Q11,,TTT,1,ECNi_2019,,0,N161N10 ,ttt_cystite ,group_385,,nephro ,QRM
QI_Q74,,,1,ECNi_2018,,0,N146N07 ,,group_366,,infectio ,QRM
DP7_Q4,,SEM,1,CCB_2017,,0,N239N03 ,,group_227,,med_interne ,QRM
QI_Q99,,,1,CCB_2017,,0,N094N12 ,,,,mpr ,QRM
DP4_Q15,,TTT,1,ECNi_2019,,0,N155N19 ,antibiotherapie_infections_cutanees ,,,dermato ,QRU
QI_Q28,,,1,ECNi_2016,,0,N247N16 ,,,,endoc ,QRM
QI_Q20,,,1,ECNi_2018,,0,N023N07 ,,,,gyneco ,QRM
DP8_Q14,,,1,ECNi_2020,,0,N139N02 ,unites_soins_palliatifs ,,,onco ,QRM
DP17_Q9,,,1,CCB_2016,,0,N317N03 ,diag_smp ,,,hemato ,QRM
DP4_Q6,,,1,ECNi_2021,,0,N339N11 ,,group_522,,cardiovasc ,QRU
DP7_Q13,,,1,ECNi_2016,,0,N167N06 ,transmission_virus_hepatotropes ,,,infectio ,QRM
QI_Q114,,SEM,1,ECNi_2021,,0,N227N07 ,claudication_mi ; classification_ceap ,group_567,,cardiovasc ,QRM
QI_Q70,,,1,CCB_2017,,0,N330N08 ,,,,cardiovasc ,QRM
DP5_Q14,,SEM,1,ECNi_2017,,0,N368N00 ,,,,cmf ,QRU
DP18_Q10,,,1,ECNi_2017,,0,N247N11 ,,,,ophtalmo ,QRM
DP11_Q3,,SEM,1,CCB_2017,,0,N368N00 ,,,,psy ,QRM
QI_Q80,,EPI,1,ECNi_2016,,0,N234N01 ,,,,cardiovasc ,QRM
QI_Q29,,,1,CCB_2017,,0,N166N03 ,,,,infectio ,QRM
QI_Q66,,,1,CCB_2016,,0,N335N10 ,,,,cmf ,QRM
DP3_Q2,,SEM,1,ECNi_2022,,0,N154N05 ,semiologie_dra ,group_572,,infectio ,QRM
DP6_Q2,,SEM,1,ECNi_2016,,0,N092N01 ,,,,neuro ,QRM
DP11_Q3,,SEM,1,ECNi_2019,,0,N028N04 ,,,,uro ,QRU
QI_Q21,,,1,ECNi_2016,,0,N245N17 ,,,,endoc ,QRM
DP15_Q11,,SEM,1,ECNi_2021,,0,N247N13 ,semiologie_sla ; semiologie_polyneuropathie_axonale ; claudication_mi ,,,neuro ,QRM
DP2_Q2,,,1,ECNi_2016,,0,N184N02 ,declaration_atmp ,,,pneumo ,QRM
DP7_Q8,,,1,ECNi_2021,,0,N264N22 ,,,,nephro ,QRM
DP15_Q14,,,1,ECNi_2016,,0,N194N15 ,,,,med_interne ,QRM
DP17_Global,PNE ,,,ECNi_2020,,0,,,,bb_cardioselectifs ; pec_nicotine ,pneumo ,
QI_Q54,,IMG,1,CCB_2017,,0,N207N01 ,,,,pneumo ,QRM
DP2_Q5,,,1,ECNi_2020,,0,N306N09 ,,,,gyneco ,QRM
QI_Q113,,,1,ECNi_2019,,0,N045N02 ,dossier_medical ,,,genetique ,QRM
QI_Q62,,SEM,1,ECNi_2022,,0,N082N09 ,etiologie_myodesopsie_phosphene_metamorphopsie ,,,ophtalmo ,QRM
DP7_Q13,,,1,ECNi_2022,,0,N289N08 ,,,,chir_dig ,QRM
DP1_Q13,,,1,ECNi_2018,,0,N264N22 ,,,,nephro ,QRM
DP14_Global,DVE ; HEM ; MVA ,,,ECNi_2017,,0,,,,,dermato ,
DP1_Q14,,TTT,1,ECNi_2020,,0,N232N14 ,consultation_visite_preanesthesique ,,,cardiovasc ,QRM
QI_Q46,,SEM,1,ECNi_2021,2,0,N026N02 ,,,,gyneco ,QRP
DP13_Q1,,SEM,1,CCB_2017,,0,N158N02 ,qsofa ,,,anesth_rea ,QRM
QI_Q87,,ICO,1,ECNi_2017,,0,N361N10 ,,,,mpr ,QRM
QI_Q65,,,1,ECNi_2022,,0,N145N12 ,lcs_infections_meningees ; semiologie_syndrome_meninge ; microbio_meningite ,,,sante_pub ,QRM
DP3_Global,MIT ; PNE ; MLT_T ,,,ECNi_2022,,0,,,,,infectio ,
QI_Q113,,ICO,1,ECNi_2017,,0,N111N03 ,,group_63,,dermato ,QRU
DP1_Q1,,EPI,1,ECNi_2019,2,0,N175N01 ,diarrhee_voyageur ,group_381,,infectio ,QRP
DP9_Q9,,,1,ECNi_2021,,0,N318N05 ,,group_272,,hemato ,QRM
DP7_Q11,,,1,ECNi_2017,,0,N272N13 ,ipp_apres_eradication_pylori ,,,hge ,QRU
DP12_Q6,,,1,ECNi_2018,,0,N261N05 ,,,,med_interne ,QRM
DP3_Q4,,,1,CCB_2016,,0,N342N11 ,criteres_gravite_syncope ,,,cardiovasc ,QRM
DP12_Q15,,TTT,1,CCB_2016,,0,N224N14 ,diagnostic_hta ,,,psy ,QRM
DP16_Q4,,SEM,1,ECNi_2017,,0,N220N05 ,,group_275,,hemato ,QRM
DP3_Global,COT ; RHU ; MPR ,,,ECNi_2019,,0,,,,aag ,ortho ,
DP3_Q2,,,1,ECNi_2016,,0,N269N08 ,,group_175,,chir_dig ,QRM
DP8_Q11,,,1,ECNi_2017,,0,N291N01 ,extension_metastases_localisations ,group_254,,onco ,QRM
DP17_Q14,,,1,CCB_2016,,0,N368N00 ,,,,hemato ,QRM
DP12_Q13,,,1,ECNi_2020,,0,N037N05 ,ivg_legal ,group_328,,med_legale ,QRM
DP11_Q4,,TTT,1,ECNi_2020,,0,N368N00 ,,group_480,,dermato ,QRM
DP11_Q8,,,1,ECNi_2022,,1,N348N04 ,ei_nephro_ains ,group_45,,nephro ,QRU
DP10_Q7,,TTT,1,CCB_2016,,0,N024N06 ,risque_alloimmunisation ,,,gyneco ,QRM
QI_Q107,,PHY,1,ECNi_2016,,0,N211N03 ,,,,pneumo ,QRM
DP1_Q4,,SEM,1,ECNi_2020,,0,N225N03 ,seuils_ips ,group_307,,cardiovasc ,QRM
DP2_Q13,,,1,ECNi_2019,,0,N188N22 ,,,,pneumo ,QRM
DP5_Q14,,,1,ECNi_2021,,0,N253N07 ,,,,hge ,QRM
DP1_Q14,,,1,ECNi_2019,,0,N170N07 ,hospit_palu ,group_390,,infectio ,QRM
DP10_Q13,,,1,CCB_2017,,0,N159N09 ,investigation_tuberculose ,group_101,,pneumo ,QRM
DP15_Q6,,IMG,1,ECNi_2022,,0,N104N15 ,,group_182,,neuro ,QRM
DP13_Q6,,SEM,1,ECNi_2016,,0,N282N04 ,,,,hge ,QRM
QI_Q27,,,1,CCB_2017,,0,N322N08 ,,,,therapeutique ,QRM
DP2_Q5,,,1,CCB_2016,,0,N271N05 ,,,,pneumo ,QRM
QI_Q57,,TTT,1,ECNi_2018,,0,N348N12 ,hyperkaliemie_iatrogene ,group_271,,nephro ,QRM
DP14_Q8,,SEM,1,ECNi_2021,,0,N334N40 ,,,,anesth_rea ,QRM
DP13_Q12,,,1,ECNi_2018,,0,N007N04 ,consentement_ecrit ; information_medicale ,group_327,,med_legale ,QRM
DP11_Q6,,,1,ECNi_2019,,0,N161N20 ,,group_262,,uro ,QRM
DP4_Q8,,TTT,1,ECNi_2022,,0,N224N14 ,ttt_hta ,,,cardiovasc ,QRM
DP13_Global,URO ; ONC ; DSP ; HEM ; MII ,,,ECNi_2017,,0,,,,annonce_cancer ; k_prostate ; med_adp ,onco ; uro ,
DP15_Global,MII ; MIT ; DVE ; OPH ; NEP ; RHU ; HEM ,,,ECNi_2016,,0,,,,pnds_lupus ,med_interne ,
DP13_Q12,,,1,ECNi_2017,,0,N310N07 ,,,,onco ,QRM
DP4_Q5,,SEM,1,ECNi_2018,,0,N159N07 ,,,,pneumo ,QRM
DP6_Q7,,,1,CCB_2016,,0,N214N02 ,hemogramme_normal ; allongement_tp_tca ,,,anesth_rea ,QRM
DP2_Global,PNE ,,,ECNi_2016,,0,,,,,pneumo ,
DP18_Q2,,SEM,1,ECNi_2022,,0,N337N04 ,ei_opioides ,,,anesth_rea ,QRU
DP4_Q10,,TTT,1,CCB_2017,,0,N098N09 ,,,,neuro ,QRM
DP16_Q6,,SEM,1,ECNi_2016,,0,N247N11 ,,,,ophtalmo ,QRM
DP1_Q14,,,1,ECNi_2018,,0,N201N03 ,don_donneur_vivant ,group_204,,nephro ,QRM
DP16_Q3,,SEM,1,ECNi_2020,,0,N087N03 ,,,,orl ,QRM
DP4_Global,DVE ,,,ECNi_2019,,0,,,,pec_infections_bacteriennes ; pnds_pemphigoide ; ald ,dermato ,
DP5_Q13,,,1,ECNi_2020,,0,N329N03 ,qualification_transformation_cgr ,,,hemato ,QRM
DP10_Q13,,TTT,1,CCB_2016,,0,N031N16 ,contraception_postpartum ,,,gyneco ,QRM
DP10_Q10,,TTT,1,ECNi_2018,,0,N294N13 ,,group_320,,hemato ,QRM
QI_Q81,,,1,CCB_2016,,0,N047N22 ,,,,pedia ,QRM
DP6_Global,NEU ,,,ECNi_2019,,0,,,,premiere_epilepsie ; pec_epilepsie ; cen_dfgsm ; mouvements_anormaux_sommeil ,neuro ,
DP14_Q9,,TTT,1,ECNi_2018,,0,N169N14 ,,group_332,,infectio ,QRU
DP13_Q10,,TTT,1,ECNi_2020,,0,N281N10 ,,,,hge ,QRM
